"k","WSS","Silhouette"
1,2146.49624389166,NA
2,1219.39316667047,0.370774654903914
3,825.982574765617,0.34668356942119
4,594.59329191801,0.342707698505288
5,506.205815002144,0.308461391347436
6,429.388276340039,0.314095922403369
7,359.921904343949,0.303902080311208
8,314.40712619422,0.322196431173733
9,268.372308791957,0.339381340356194
10,230.565980346724,0.353487298219431
