"PC1","PC2","PC3","PID","Cluster"
-2.56470254732581,-14.2665984534449,13.9487214973995,1,"2"
18.8273290634229,-0.786944188738607,9.41075724055291,2,"2"
-79.4266195234063,-0.690992232749675,-3.7422846678683,3,"1"
41.5746171814693,6.02763439636583,9.16863244198094,4,"2"
15.5058863400865,30.236833631041,-0.762474822592151,6,"2"
16.5172807597905,0.203301557144418,14.8010957585299,7,"2"
21.4206165025132,-21.4215885385913,-15.1710641470558,8,"2"
-25.8031682058546,-3.69546470508456,-3.20606232391774,9,"1"
4.67239301217474,22.3226768064342,4.78922585383801,10,"2"
-13.2028958339214,-16.4405193586021,0.945236669731449,11,"2"
37.8379227803772,10.8012298780199,3.6296575459484,12,"2"
-33.0765886947596,11.1290759227224,-15.287111293946,13,"1"
1.92698385886,-5.3488717911418,3.49815663870458,14,"2"
20.5717583912272,-2.31678292254166,4.26288207712018,15,"2"
46.2587720286465,9.78163772278828,-0.0566135267015313,16,"2"
-41.5664343196808,-27.7752736758217,-5.76095201939551,17,"1"
29.0183875035771,7.90016486686832,4.41383872213165,19,"2"
-22.7497234142195,-37.7028182687035,5.54270716370758,20,"1"
42.4501462706492,6.78367664534772,-5.80601474503231,21,"2"
-46.2731517567105,14.9462615378767,2.84911708936174,22,"1"
-47.3656239463215,-28.7626275754837,8.56019104242862,24,"1"
7.45587624285803,8.19254841748036,8.99615416228721,26,"2"
-2.6589008715988,-11.1593329309841,-5.45367901754647,27,"2"
-4.75366121411508,-14.8770490755955,0.981784626957045,28,"2"
-10.0915478367855,8.15292701223484,12.2801286270053,29,"2"
-10.3205578747342,33.0639716809991,-2.2369203660396,30,"2"
29.8459606119258,7.38486196775126,12.5745285272365,31,"2"
35.1715097193601,4.49844046374054,-11.3602547449941,32,"2"
4.86523948381571,9.64262576500034,-7.75530838560072,33,"2"
-5.5271069614444,-22.732791472211,0.316521160154921,34,"2"
15.3230776869853,2.88347207011277,15.7584771813585,35,"2"
-1.28336654839684,7.24360303130812,6.37813775937192,36,"2"
6.57003867930795,-5.00331244368124,-0.97587976724818,37,"2"
-6.64019595634859,-33.6628160923468,0.162773476039843,38,"2"
-41.9419287284017,49.9400455539415,-14.7594291635302,39,"1"
-61.3002621478678,22.0731951434479,20.864016916663,40,"1"
25.2810026222707,-18.3627464054868,-3.0856281043059,41,"2"
19.1954098406951,-11.0664589742282,-13.4494305170612,42,"2"
6.59687349426086,-6.6642212570074,-3.67308144216216,43,"2"
-42.1548004864916,11.8862769305008,-14.0987650751861,44,"1"
35.6744488267171,-3.01742584617231,-11.0104104335208,45,"2"
17.5833357077943,-7.42745540229036,-18.8630670850863,46,"2"
