"PC1","PC2","PC3","PID","Cluster","KMeans_Cluster","Hierarchical_Cluster"
-7.00441989929618,1.55930498921624,-0.328202316538124,1,"3","3","1"
-3.30432815235622,2.37801320605385,-1.15829856670608,2,"3","3","2"
-5.95578315865606,2.51494989867671,2.21504161868163,3,"3","3","1"
-9.23099204961701,2.5066032476056,-0.229357502797289,4,"3","3","1"
3.4342828794657,8.07041311435545,-0.44936505670126,6,"1","1","2"
-0.868484180264849,1.21501778042446,3.1175985433923,7,"1","1","2"
5.88096737980367,1.69092404178735,-1.58242745392656,8,"1","1","2"
-4.64068419509665,2.63506277701768,-0.658594063723189,9,"3","3","2"
-0.984594727869964,-1.01239226535259,-0.337910455572514,10,"2","2","3"
-6.75188209275735,0.209648124174537,1.42999586231166,11,"3","3","1"
3.65440054708255,5.16753345257296,-3.53333382383964,12,"1","1","2"
0.848678998404585,-1.85953303561008,-1.46791704495739,13,"2","2","3"
-1.96371274396772,0.918294448315818,-1.34587279008958,14,"3","3","2"
-9.21727988006088,3.26210755857806,-4.07921639365609,15,"3","3","1"
6.21649361624426,-6.57683130076037,-1.47567185363731,16,"2","2","3"
4.62619717884797,1.39591812289298,-4.9029462921147,17,"1","1","2"
-4.8020641817387,-4.37302830430924,-1.18458697923338,19,"3","3","1"
2.38644353565251,5.82438062904876,-0.889467483532264,20,"1","1","2"
-0.193081702823973,0.994274716204204,0.697811363003796,21,"1","1","2"
0.559056164158942,2.98591809354365,0.328957478995837,22,"1","1","2"
-13.0082204002554,-2.82436069225051,-2.29600127166782,24,"3","3","1"
-0.541769489594288,2.3099563845581,2.84480744139181,26,"1","1","2"
3.94952547574435,6.36968046769273,2.20500111633426,27,"1","1","2"
-12.1341917455052,-1.07028104950981,-1.74100084221197,28,"3","3","1"
-2.01341886435049,-3.010320448021,3.5544451181724,29,"2","2","3"
8.8091315973103,1.83863961158077,-2.96239662536672,30,"1","1","2"
7.10354768977316,4.82049541555648,2.56865053545379,31,"1","1","2"
-7.38743613769136,-3.3798410328107,1.35484093775287,32,"3","3","1"
-0.635329421810074,4.48897825530532,3.73057713548329,33,"1","1","2"
2.83575610722341,-2.85014677326421,1.14080743581793,34,"2","2","3"
2.73188409216676,-1.23889948883427,4.22114881831556,35,"2","2","3"
0.389318049128965,-1.23729061820341,2.36725066602341,36,"2","2","3"
0.121488122867701,-3.07212366070519,2.66962146042944,37,"2","2","3"
6.8673008854037,-2.05197894958516,-0.994957272576073,38,"2","2","3"
4.16344377203416,-0.0887240085196732,-1.92142613473127,39,"1","1","2"
4.6428118135253,-7.35896669075397,-0.7987183056849,40,"2","2","3"
6.02975585025423,-5.67685380832144,-0.476946066826134,41,"2","2","3"
-6.87352634474001,-1.10746288664623,1.00698067005068,42,"3","3","1"
7.59260391022941,-5.01940143572545,-1.74395808067348,43,"2","2","3"
8.45243078234909,3.30199736570017,2.32624364165829,44,"1","1","2"
0.110703722893135,-6.56735089613524,0.582755201552884,45,"2","2","3"
0.991744671795036,-8.03001112250921,1.5927876048297,46,"2","2","3"
