"PC1","PC2","PID","Cluster"
-6.99543237945251,1.7572599157163,1,"1"
-3.272886864916,2.76717850472452,2,"1"
-5.9692599102351,2.62897056380741,3,"1"
-9.25226983695252,2.55054460595107,4,"1"
3.44789349744577,7.99844898406789,6,"2"
-0.903718626983432,0.993373118851067,7,"2"
5.9564366662853,1.65358757732173,8,"2"
-4.57377770309515,2.5449744714666,9,"1"
-1.03474739358952,-1.04608866632959,10,"2"
-6.7145369576043,0.255695488888212,11,"1"
3.63843939161464,5.16871718293816,12,"2"
0.926537093764983,-1.86768282662468,13,"2"
-1.89229667804728,0.851779933844091,14,"2"
-9.2632205242568,3.15745439346717,15,"1"
6.16420975842281,-6.52752607469505,16,"2"
4.7248339418605,1.31219811445581,17,"2"
-4.77951024886466,-4.32098017154498,19,"1"
2.31239184451727,5.87669138868122,20,"2"
-0.182224333018825,1.11156080744181,21,"2"
0.548277668702139,2.999939555123,22,"2"
-13.1271871336252,-2.94661961366753,24,"1"
-0.568801441526491,2.49177059548737,26,"2"
3.90497088894199,6.27676278899854,27,"2"
-12.0811889603934,-1.21419011572066,28,"1"
-1.94040670446147,-2.93821807934089,29,"2"
8.7846336384265,1.93725866680557,30,"2"
7.19380032846522,4.53690529482905,31,"2"
-7.30495936139208,-3.57374974051816,32,"1"
-0.35563166640005,4.47089585129773,33,"2"
2.81030024855446,-2.82926692776122,34,"2"
2.75672198665249,-1.18342182741661,35,"2"
0.411201450534388,-1.2527216873519,36,"2"
0.0618007811193213,-3.00805058213385,37,"2"
6.82908888600718,-2.05035918069763,38,"2"
4.1460388820992,-0.00340887286749976,39,"2"
4.64036341012015,-7.28568068556083,40,"2"
6.06103831981888,-5.59634953749859,41,"2"
-6.86395967639123,-1.01303541419306,42,"1"
7.58971347955301,-4.93712430351589,43,"2"
8.32103355345804,2.99379325128142,44,"2"
0.0920397953130499,-6.56563072451948,45,"2"
0.959853082568209,-8.03343080445612,46,"2"
