"k","Silhouette"
2,0.361414311360315
3,0.314156778741522
4,0.283967458684483
5,0.305064341230333
6,0.308360426255672
7,0.309700825358228
8,0.3144629820869
9,0.332831313353576
10,0.344091959233466
